stock,taxa,variable,year,mean,sd,lower,upper,status
Sardina.pilchardus,Sardina pilchardus,b_div_bmsy,2018,0.796071469247459,0.142990431624369,0.636503625259416,1.0041345895638,overfished
Engraulis.encrasicolus,Engraulis encrasicolus,b_div_bmsy,2018,0.790604217940641,0.163816363670243,0.608973905476401,1.03036704444364,overfished
Clupeoidei,Clupeoidei,b_div_bmsy,2018,0.829369646019945,0.179237497595934,0.62156049610086,1.1017816307559,fully fished
Sardinella.aurita,Sardinella aurita,b_div_bmsy,2018,0.802499172126961,0.16437364871932,0.614511877697236,1.04466064716085,fully fished
Sprattus.sprattus,Sprattus sprattus,b_div_bmsy,2018,0.805614277139322,0.166723879904269,0.609539075952268,1.04604396964823,fully fished
Sardinella.spp,Sardinella spp,b_div_bmsy,2018,0.879244029571823,0.164747539113322,0.67369534588327,1.13654075207316,fully fished
