Stock,yr,bbmsy,ffmsy,bbmsy.effEdepP,ffmsy.effEdepP
Sardina.pilchardus,1951,1.48783039731059,0.327791850474307,1.48783039731059,0.327791850474307
Sardina.pilchardus,1952,1.64756822669279,0.329979719512132,1.64756822669279,0.329979719512132
Sardina.pilchardus,1953,1.4018915789708,0.367343631597809,1.4018915789708,0.367343631597809
Sardina.pilchardus,1954,1.18260568202926,0.418358504129578,1.18260568202926,0.418358504129578
Sardina.pilchardus,1955,0.941844690473376,0.400967409190264,0.941844690473376,0.400967409190264
Sardina.pilchardus,1956,1.04764728376123,0.445766040806796,1.04764728376123,0.445766040806796
Sardina.pilchardus,1957,1.1236279862963,0.468360608774309,1.1236279862963,0.468360608774309
Sardina.pilchardus,1958,1.1331045725357,0.401355579673859,1.1331045725357,0.401355579673859
Sardina.pilchardus,1959,1.12399129190944,0.393730900251272,1.12399129190944,0.393730900251272
Sardina.pilchardus,1960,1.1143373961074,0.406848905123671,1.1143373961074,0.406848905123671
Sardina.pilchardus,1961,1.08120854615107,0.523273788034567,1.08120854615107,0.523273788034567
Sardina.pilchardus,1962,1.29715446596082,0.362923595856841,1.29715446596082,0.362923595856841
Sardina.pilchardus,1963,1.42677094691478,0.364893549898343,1.42677094691478,0.364893549898343
Sardina.pilchardus,1964,1.4266697353207,0.388654033866578,1.4266697353207,0.388654033866578
Sardina.pilchardus,1965,1.25645263755554,0.405747621650766,1.25645263755554,0.405747621650766
Sardina.pilchardus,1966,1.21937068494256,0.48905344963709,1.21937068494256,0.48905344963709
Sardina.pilchardus,1967,1.1458203620654,0.460520687329152,1.1458203620654,0.460520687329152
Sardina.pilchardus,1968,1.16426728110921,0.469785756118317,1.16426728110921,0.469785756118317
Sardina.pilchardus,1969,1.33595398884851,0.442151356111148,1.33595398884851,0.442151356111148
Sardina.pilchardus,1970,1.54741419143744,0.439843119094053,1.54741419143744,0.439843119094053
Sardina.pilchardus,1971,1.66268153995784,0.426929912520255,1.66268153995784,0.426929912520255
Sardina.pilchardus,1972,1.83796089948507,0.409479847129288,1.83796089948507,0.409479847129288
Sardina.pilchardus,1973,1.95630633650601,0.360656536019474,1.95630633650601,0.360656536019474
Sardina.pilchardus,1974,1.85965963416276,0.42716154571032,1.85965963416276,0.42716154571032
Sardina.pilchardus,1975,1.78197215622806,0.464733667870601,1.78197215622806,0.464733667870601
Sardina.pilchardus,1976,1.73140355233551,0.476142134917687,1.73140355233551,0.476142134917687
Sardina.pilchardus,1977,1.85840231454058,0.47689956083723,1.85840231454058,0.47689956083723
Sardina.pilchardus,1978,1.82187871263149,0.4947385836097,1.82187871263149,0.4947385836097
Sardina.pilchardus,1979,1.78601459890002,0.498669444007362,1.78601459890002,0.498669444007362
Sardina.pilchardus,1980,1.74704798397895,0.505578986185434,1.74704798397895,0.505578986185434
Sardina.pilchardus,1981,1.81848846653903,0.60548654593556,1.81848846653903,0.60548654593556
Sardina.pilchardus,1982,1.73094152823449,0.623778141421382,1.73094152823449,0.623778141421382
Sardina.pilchardus,1983,1.58659210006114,0.714395967073836,1.58659210006114,0.714395967073836
Sardina.pilchardus,1984,1.48224287082027,0.708170634639646,1.48224287082027,0.708170634639646
Sardina.pilchardus,1985,1.47133978956851,0.786753186532565,1.47133978956851,0.786753186532565
Sardina.pilchardus,1986,1.45560382407187,0.813781479197301,1.45560382407187,0.813781479197301
Sardina.pilchardus,1987,1.41863872872364,0.952533969327201,1.41863872872364,0.952533969327201
Sardina.pilchardus,1988,1.313362701252,1.00811421740122,1.313362701252,1.00811421740122
Sardina.pilchardus,1989,1.30126277486646,0.984194595839356,1.30126277486646,0.984194595839356
Sardina.pilchardus,1990,1.19715156485458,0.956967973683907,1.19715156485458,0.956967973683907
Sardina.pilchardus,1991,1.14080337746663,0.993739982752522,1.14080337746663,0.993739982752522
Sardina.pilchardus,1992,1.14922774402539,1.02261900607424,1.14922774402539,1.02261900607424
Sardina.pilchardus,1993,1.15006439260508,1.03280990226398,1.15006439260508,1.03280990226398
Sardina.pilchardus,1994,1.20000071051301,1.01945188845717,1.20000071051301,1.01945188845717
Sardina.pilchardus,1995,1.13267594513741,1.02797951013882,1.13267594513741,1.02797951013882
Sardina.pilchardus,1996,1.03575486633703,1.01957966146422,1.03575486633703,1.01957966146422
Sardina.pilchardus,1997,1.04729503497927,0.9423556123836,1.04729503497927,0.9423556123836
Sardina.pilchardus,1998,1.00593117297505,0.954189852365778,1.00593117297505,0.954189852365778
Sardina.pilchardus,1999,1.02783943148706,0.971142521478796,1.02783943148706,0.971142521478796
Sardina.pilchardus,2000,1.05202176738771,0.9650245831558,1.05202176738771,0.9650245831558
Sardina.pilchardus,2001,0.987624959319031,0.952104895169801,0.987624959319031,0.952104895169801
Sardina.pilchardus,2002,0.963798746213809,0.922873755860581,0.963798746213809,0.922873755860581
Sardina.pilchardus,2003,0.919892213629648,0.916042697889908,0.919892213629648,0.916042697889908
Sardina.pilchardus,2004,0.944231572236285,0.905175687333996,0.944231572236285,0.905175687333996
Sardina.pilchardus,2005,0.98244017502418,0.974434722138565,0.98244017502418,0.974434722138565
Sardina.pilchardus,2006,0.986851112112098,1.10436070730431,0.986851112112098,1.10436070730431
Sardina.pilchardus,2007,0.843526780644159,1.1873649412171,0.843526780644159,1.1873649412171
Sardina.pilchardus,2008,0.756640918411127,0.967967688000185,0.756640918411127,0.967967688000185
Sardina.pilchardus,2009,0.78882759639634,1.18090784253349,0.78882759639634,1.18090784253349
